cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado,gini,idhm,idhm_renda,idhm_longevidade,idhm_educacao,perc_pobres,pib_per_capita,densidade_demografica,taxa_homicidios,alta_violencia
5103056,9593.0,74.2416,22.089,1473.42,4.0535,5.62,45.0957,0.57,0.699,0.719,0.809,0.586,11.68,111366.41300948609,2.495862560786729,20.848535390388825,1
5103106,6220.0,63.955,20.2251,1466.11,0.6339,10.14,1.4938,0.48,0.66,0.674,0.807,0.528,12.8,47853.37620578778,0.3755327493537456,64.30868167202573,1
5103205,31370.0,83.4842,21.7405,1796.83,1.167,6.53,26.8376,0.56,0.713,0.732,0.819,0.604,8.8,40461.77876952502,10.080039433294207,38.25310806503028,1
5103254,25766.0,59.8774,24.1209,1262.59,1.6962,6.77,1.0071,0.58,0.611,0.633,0.815,0.443,31.89,32950.82667080649,0.921522947033675,65.97842117519212,1
5103304,18238.0,70.2215,23.3249,1444.11,2.4549,8.53,2.8936,0.54,0.689,0.687,0.84,0.567,17.62,68983.27667507403,0.8488705943834909,16.44917205833973,1
5103353,35075.0,77.0064,26.3093,1500.84,2.6264,5.94,9.8757,0.58,0.668,0.66,0.812,0.556,25.71,43817.99002138275,6.045013505844145,19.957234497505347,1
5103361,3760.0,65.3191,22.7926,1523.36,2.1663,8.71,0.9009,0.5,0.718,0.707,0.807,0.65,10.77,38076.86170212766,1.4005414433622532,0.0,0
5103379,11011.0,46.3991,22.5956,1520.4,4.3004,7.64,0.9009,0.57,0.601,0.623,0.825,0.423,35.44,29460.630278812096,1.1627296723733804,36.32730905458178,1
5103403,650877.0,98.2865,22.5494,2428.24,3.7226,3.56,71.2017,0.59,0.785,0.8,0.834,0.726,5.31,45697.9152743145,150.4145848835973,9.371970433737864,0
5103437,4903.0,62.8799,20.4365,1300.68,0.1535,9.66,0.8357,0.47,0.69,0.658,0.811,0.615,14.43,25254.741994697124,13.725742696214013,61.18702834998981,1
5103452,7014.0,88.7083,22.6832,1436.49,4.6393,10.97,0.9274,0.42,0.683,0.672,0.802,0.59,7.34,75502.13857998289,5.509049009643585,0.0,0
5103502,21941.0,79.9234,22.7702,1634.49,1.4408,5.48,25.4264,0.47,0.718,0.714,0.831,0.625,9.18,261918.59988150038,2.65520342299904,41.019096668337816,1
5103601,7872.0,79.3826,17.4162,1456.31,4.3606,12.28,27.5281,0.51,0.69,0.687,0.806,0.593,13.08,85529.59857723577,3.6050509181385078,25.406504065040654,1
5103700,10521.0,70.7347,25.3683,1520.23,1.8971,5.99,0.9552,0.46,0.692,0.737,0.819,0.548,11.93,99309.38123752495,0.9021984623951916,28.514399771884804,1
5103809,3187.0,61.2488,18.4186,1457.44,4.1338,10.82,0.1652,0.42,0.679,0.665,0.786,0.599,9.17,26232.50705993097,3.575082337949045,0.0,0
