cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado
1600402,21924.0,50.8575,29.137,650.57,10.5929,11.76,4.5292
1600501,27482.0,67.8917,28.2185,846.41,2.0079,6.67,2.1446
1600535,17848.0,67.6883,25.846,889.05,8.344,9.43,1.5962
1600550,3803.0,45.1486,25.2958,639.24,1.2281,9.41,0.1095
1600600,107618.0,95.9245,28.0882,1029.14,9.4295,7.05,5.0427
1600709,12945.0,56.0216,25.168,669.0,6.3119,10.34,1.4453
1600808,11291.0,79.9663,28.0046,656.35,5.8962,12.73,5.6221
1700251,2576.0,58.1522,21.0404,1103.87,1.6546,14.35,1.0811
1700301,4497.0,83.3,24.7721,969.45,1.7376,8.66,31.8056
1700350,5147.0,84.5153,21.6825,962.77,5.8577,10.96,1.6739
1700400,6499.0,81.4587,23.2343,901.21,4.0034,16.47,0.4329
1700707,8802.0,94.4558,23.4492,1420.73,2.4927,8.68,1.7611
1701002,10325.0,75.2252,24.6489,905.85,6.9561,13.15,43.2118
1701051,2876.0,69.3672,21.4882,864.48,14.0572,9.08,1.2304
1701101,4856.0,73.6614,21.6227,1086.79,3.1847,10.9,1.2055
1701309,5290.0,48.034,19.6219,948.87,4.3998,17.44,0.7088
1701903,5927.0,47.6126,20.6344,1126.54,2.7273,10.68,32.7996
1702000,8133.0,67.9454,20.0295,1309.8,8.5661,11.18,0.4915
1702109,171301.0,97.2394,25.9187,1450.2,4.7732,6.29,28.364
1702158,4310.0,67.0998,23.3411,882.97,3.2699,12.5,13.7602
1702208,31918.0,71.0571,25.5874,968.04,4.3147,12.74,0.9011
1702307,5550.0,78.5045,22.8468,1063.76,3.4339,12.15,4.9439
1702406,10287.0,69.2038,22.3583,1165.13,6.51,16.2,1.0196
1702554,17484.0,86.4162,25.8865,995.19,6.7119,12.52,11.7699
1702703,3342.0,67.9533,19.8683,988.14,6.6038,14.81,1.8068
1702901,10262.0,82.5473,25.229,729.12,6.6342,15.57,43.8079
1703008,7880.0,52.0558,19.7843,877.11,10.4991,15.43,2.6473
1703057,3407.0,61.2269,24.5377,1113.71,1.6456,9.74,0.6891
1703073,4476.0,74.4191,25.6032,750.89,1.1732,13.76,1.5407
1703107,4846.0,84.0487,20.7594,1073.11,2.7218,12.85,0.6845
1703206,4229.0,51.6434,21.2107,1113.41,6.9855,12.94,0.1974
1703305,4038.0,80.0396,24.6409,1047.77,2.4072,9.88,1.1219
1703602,1974.0,64.8936,20.922,945.34,6.7909,11.56,6.6763
1703701,4725.0,79.4497,19.1746,889.67,1.7363,13.17,15.7987
1703800,10307.0,76.6469,24.8278,665.2,5.0288,18.19,2.9113
1703826,1961.0,77.2565,22.0806,763.82,3.3445,14.31,10.815
1703842,8653.0,71.8017,28.129,912.29,3.3972,10.5,0.4134
1703867,4007.0,62.1912,23.7085,1174.15,0.9259,10.0,3.5156
1703883,2201.0,83.5075,23.1259,982.1,5.6,13.96,0.6693
1703891,3318.0,45.5998,24.5027,590.1,6.1475,20.61,2.2727
1703909,4847.0,63.3175,23.1277,1047.86,3.8482,8.88,0.4911
1704105,2131.0,64.8053,21.3515,860.47,14.0244,12.13,0.6477
1704600,1501.0,63.6909,17.7881,927.68,2.993,14.9,0.7105
1705102,3117.0,57.7799,22.2329,809.82,2.2078,14.27,0.5837
1705508,34233.0,96.4508,25.2154,1378.65,4.1053,8.45,76.6015
1705557,4756.0,85.7233,22.1405,1156.96,5.494,9.66,0.2872
1705607,3887.0,72.7811,22.7682,966.54,4.3056,16.76,10.0386
1706001,5331.0,51.3412,21.2343,878.4,17.2303,12.06,1.084
1706100,6371.0,81.5728,18.2389,1299.17,2.5624,9.92,0.9378
1706258,1470.0,67.6871,20.068,1034.63,3.6923,8.41,0.5906
1706506,5827.0,73.1938,23.7858,865.8,5.1452,9.07,29.0955
1707009,17739.0,87.4063,24.4602,1143.3,6.908,9.89,4.0915
1707108,7024.0,74.6298,21.2415,1231.09,2.6688,9.76,1.4607
1707207,6327.0,48.0639,18.8557,1097.58,3.0616,12.36,0.917
1707306,4248.0,67.8672,20.3861,1188.81,2.7425,9.09,0.9225
1707405,7530.0,77.3041,24.8473,723.55,6.4848,18.41,34.7864
1707553,3467.0,84.5399,22.1229,1181.37,2.9345,9.32,23.0318
1707652,5211.0,79.5433,19.6315,1201.32,0.7058,10.1,2.2587
1707702,7712.0,65.223,20.9155,922.76,4.5825,12.67,2.1518
1708205,18881.0,71.2356,22.5041,1174.54,3.0346,9.53,2.8651
1708254,3455.0,78.3502,25.0072,1092.33,1.4124,9.5,0.1747
1708304,4738.0,60.7218,22.2035,1104.48,0.8772,13.21,0.5322
1709005,12433.0,55.1355,24.2661,803.98,3.9601,16.65,3.842
1709302,24775.0,91.6529,23.6327,1406.97,2.6409,6.39,51.3985
1709500,85125.0,97.6505,24.0787,1665.16,2.8673,4.16,41.4389
